Ptr: 0x8009378F, Offset: 0x00006D70 (0x80016570), CmdHi: 0x3C028009, CmdLo: 0x2442378F
Ptr: 0x80093546, Offset: 0x00006E58 (0x80016658), CmdHi: 0x3C028009, CmdLo: 0x24423546
Ptr: 0x80096212, Offset: 0x00007074 (0x80016874), CmdHi: 0x3C028009, CmdLo: 0x24426212
Ptr: 0x80096212, Offset: 0x00007230 (0x80016A30), CmdHi: 0x3C028009, CmdLo: 0x24426212
Ptr: 0x800965A0, Offset: 0x0000D008 (0x8001C808), CmdHi: 0x3C028009, CmdLo: 0x244265A0
Ptr: 0x80092B1E, Offset: 0x0000D250 (0x8001CA50), CmdHi: 0x3C028009, CmdLo: 0x24422B1E
Ptr: 0x800964DD, Offset: 0x0000E954 (0x8001E154), CmdHi: 0x3C028009, CmdLo: 0x244264DD
Ptr: 0x80096190, Offset: 0x0000F448 (0x8001EC48), CmdHi: 0x3C028009, CmdLo: 0x24426190
Ptr: 0x8009614F, Offset: 0x0000F890 (0x8001F090), CmdHi: 0x3C028009, CmdLo: 0x2442614F
Ptr: 0x80092B1E, Offset: 0x0000F8D0 (0x8001F0D0), CmdHi: 0x3C028009, CmdLo: 0x24422B1E
Ptr: 0x800963D9, Offset: 0x000189D4 (0x800281D4), CmdHi: 0x3C028009, CmdLo: 0x244263D9
Ptr: 0x8009608C, Offset: 0x000189F4 (0x800281F4), CmdHi: 0x3C028009, CmdLo: 0x2442608C
Ptr: 0x80096767, Offset: 0x00018A1C (0x8002821C), CmdHi: 0x3C028009, CmdLo: 0x24426767
Ptr: 0x800961D1, Offset: 0x00018A58 (0x80028258), CmdHi: 0x3C028009, CmdLo: 0x244261D1
Ptr: 0x80096398, Offset: 0x00018AAC (0x800282AC), CmdHi: 0x3C028009, CmdLo: 0x24426398
Ptr: 0x80096316, Offset: 0x0001A820 (0x8002A020), CmdHi: 0x3C028009, CmdLo: 0x24426316
Ptr: 0x80092916, Offset: 0x0001D9B4 (0x8002D1B4), CmdHi: 0x3C028009, CmdLo: 0x24422916
Ptr: 0x800929D9, Offset: 0x0001D9C4 (0x8002D1C4), CmdHi: 0x3C028009, CmdLo: 0x244229D9
Ptr: 0x80092957, Offset: 0x0001D9E8 (0x8002D1E8), CmdHi: 0x3C028009, CmdLo: 0x24422957
Ptr: 0x80092998, Offset: 0x0001DA0C (0x8002D20C), CmdHi: 0x3C028009, CmdLo: 0x24422998
Ptr: 0x80092A1A, Offset: 0x0001DA1C (0x8002D21C), CmdHi: 0x3C028009, CmdLo: 0x24422A1A
Ptr: 0x80096253, Offset: 0x0001DCF8 (0x8002D4F8), CmdHi: 0x3C028009, CmdLo: 0x24426253
Ptr: 0x80093546, Offset: 0x0001EE18 (0x8002E618), CmdHi: 0x3C028009, CmdLo: 0x24423546
Ptr: 0x80096E2C, Offset: 0x00020F54 (0x80030754), CmdHi: 0x3C028009, CmdLo: 0x24426E2C
Ptr: 0x800965E1, Offset: 0x00021DC4 (0x800315C4), CmdHi: 0x3C028009, CmdLo: 0x244265E1
Ptr: 0x800966A4, Offset: 0x00021DD4 (0x800315D4), CmdHi: 0x3C028009, CmdLo: 0x244266A4
Ptr: 0x80096663, Offset: 0x00021DE4 (0x800315E4), CmdHi: 0x3C028009, CmdLo: 0x24426663
Ptr: 0x800966E5, Offset: 0x00021E10 (0x80031610), CmdHi: 0x3C028009, CmdLo: 0x244266E5
Ptr: 0x8009686B, Offset: 0x00021E20 (0x80031620), CmdHi: 0x3C028009, CmdLo: 0x2442686B
